date,code,open,high,low,close,volume
2015-12-31,887637.WI,1000.0,1000.0,1000.0,1000.0,0.0
2016-01-04,887637.WI,999.48,999.48,997.07,997.07,429854600.0
2016-01-05,887637.WI,996.37,998.63,996.37,998.63,600226100.0
2016-01-06,887637.WI,999.69,999.71,999.69,999.71,343758800.0
2016-01-07,887637.WI,994.96,994.96,985.6,985.6,649462500.0
2016-01-08,887637.WI,983.43,986.85,983.43,986.85,616632500.0
2016-01-11,887637.WI,980.31,980.31,971.83,971.83,862840100.0
2016-01-12,887637.WI,974.88,974.88,973.95,973.95,952118500.0
2016-01-13,887637.WI,978.61,978.61,975.87,975.87,617807800.0
2016-01-14,887637.WI,968.19,975.12,968.19,975.12,949982600.0
2016-01-15,887637.WI,973.83,973.83,958.68,958.68,626418300.0
2016-01-19,887637.WI,946.79,959.44,946.79,959.44,647813700.0
2016-01-20,887637.WI,955.6,955.6,946.09,946.09,590858200.0
2016-01-21,887637.WI,946.73,946.73,930.93,930.93,466519000.0
2016-01-22,887637.WI,936.71,937.24,936.71,937.24,303401100.0
2016-01-25,887637.WI,939.83,941.27,939.83,941.27,1077734900.0
2016-01-26,887637.WI,937.74,937.74,932.53,932.53,648064500.0
2016-01-27,887637.WI,938.31,938.31,931.53,931.53,970517600.0
2016-01-28,887637.WI,931.94,931.94,926.19,926.19,1031147900.0
2016-01-29,887637.WI,925.52,933.25,925.52,933.25,748252200.0
2016-02-01,887637.WI,935.88,938.87,935.88,938.87,454388300.0
2016-02-02,887637.WI,938.73,939.93,938.73,939.93,871249100.0
2016-02-03,887637.WI,932.11,933.28,932.11,933.28,501305100.0
2016-02-04,887637.WI,934.18,937.62,934.18,937.62,1130461500.0
2016-02-05,887637.WI,936.02,936.02,935.66,935.66,662226100.0
2016-02-08,887637.WI,936.02,936.02,935.66,935.66,662226100.0
2016-02-09,887637.WI,936.02,936.02,935.66,935.66,662226100.0
2016-02-10,887637.WI,936.02,936.02,935.66,935.66,662226100.0
2016-02-11,887637.WI,926.61,926.61,922.35,922.35,378593700.0
2016-02-12,887637.WI,920.04,924.28,920.04,924.28,248194900.0
2016-02-16,887637.WI,932.14,937.78,932.14,937.78,1195545000.0
2016-02-17,887637.WI,938.92,938.92,936.13,936.13,323703700.0
2016-02-18,887637.WI,940.74,951.08,940.74,951.08,483758300.0
2016-02-19,887637.WI,950.73,951.77,950.73,951.77,286915400.0
2016-02-22,887637.WI,952.18,952.18,951.68,951.68,1131800900.0
2016-02-23,887637.WI,953.22,957.9,953.22,957.9,524694100.0
2016-02-24,887637.WI,956.36,956.36,956.16,956.16,381909300.0
2016-02-25,887637.WI,957.9,957.9,948.68,948.68,587527500.0
2016-02-26,887637.WI,951.96,951.96,951.51,951.51,276983500.0
2016-02-29,887637.WI,951.02,951.02,944.21,944.21,301367700.0
2016-03-01,887637.WI,945.91,946.27,945.91,946.27,328442000.0
2016-03-02,887637.WI,951.39,957.73,951.39,957.73,399605000.0
2016-03-03,887637.WI,959.26,959.26,956.98,956.98,316070300.0
2016-03-04,887637.WI,959.98,967.72,959.98,967.72,461421800.0
2016-03-07,887637.WI,972.1,980.71,972.1,980.71,615042600.0
2016-03-08,887637.WI,979.95,979.95,977.59,977.59,235888000.0
2016-03-09,887637.WI,974.08,974.08,974.02,974.02,222494200.0
2016-03-10,887637.WI,974.98,975.54,974.98,975.54,243808700.0
2016-03-11,887637.WI,974.1,978.04,974.1,978.04,191398400.0
2016-03-14,887637.WI,979.33,979.35,979.33,979.35,613204700.0
2016-03-15,887637.WI,978.5,978.5,968.58,968.58,789493900.0
2016-03-16,887637.WI,970.05,970.05,965.7,965.7,920258000.0
2016-03-17,887637.WI,967.74,973.11,967.74,973.11,455470400.0
2016-03-18,887637.WI,974.0,990.65,974.0,990.65,402203700.0
2016-03-21,887637.WI,988.93,988.93,987.07,987.07,299376000.0
2016-03-22,887637.WI,989.15,989.15,987.26,987.26,381361100.0
2016-03-23,887637.WI,987.11,987.11,986.33,986.33,274085600.0
2016-03-24,887637.WI,983.0,983.0,974.54,974.54,338864300.0
2016-03-28,887637.WI,983.0,983.0,974.54,974.54,338864300.0
2016-03-29,887637.WI,973.04,973.04,972.46,972.46,202082200.0
2016-03-30,887637.WI,973.41,976.1,973.41,976.1,178394900.0
2016-03-31,887637.WI,978.66,978.66,974.97,974.97,164245300.0
2016-04-01,887637.WI,977.16,977.16,973.94,973.94,417035600.0
2016-04-04,887637.WI,977.16,977.16,973.94,973.94,417035600.0
2016-04-05,887637.WI,974.63,974.63,968.49,968.49,703580300.0
2016-04-06,887637.WI,967.5,968.48,967.5,968.48,88513600.0
2016-04-07,887637.WI,969.81,970.92,969.81,970.92,118199400.0
2016-04-08,887637.WI,968.67,968.67,967.61,967.61,89204800.0
2016-04-11,887637.WI,965.81,968.44,965.81,968.44,93319200.0
2016-04-12,887637.WI,967.86,974.68,967.86,974.68,137197000.0
2016-04-13,887637.WI,977.93,979.08,977.93,979.08,153561900.0
2016-04-14,887637.WI,982.62,982.62,980.19,980.19,136692000.0
2016-04-15,887637.WI,979.93,982.18,979.93,982.18,165517900.0
2016-04-18,887637.WI,979.55,979.55,977.25,977.25,87523600.0
2016-04-19,887637.WI,979.29,981.39,979.29,981.39,116336000.0
2016-04-20,887637.WI,983.19,983.19,978.42,978.42,121307300.0
2016-04-21,887637.WI,980.99,980.99,977.91,977.91,118903400.0
2016-04-22,887637.WI,978.25,978.25,974.34,974.34,84598900.0
2016-04-25,887637.WI,976.3,976.3,973.19,973.19,67743000.0
2016-04-26,887637.WI,973.52,973.52,971.07,971.07,80847800.0
2016-04-27,887637.WI,973.41,973.41,970.6,970.6,79220700.0
2016-04-28,887637.WI,972.06,972.85,972.06,972.85,67987900.0
