date,code,open_o,high_o,low_o,close_o,volume_o
2015-12-31,CL.NYM,36.81,37.79,36.22,37.07,279553
2016-01-04,CL.NYM,37.6,38.39,36.33,36.88,427489
2016-01-05,CL.NYM,36.9,37.1,35.74,36.14,408647
2016-01-06,CL.NYM,36.18,36.39,33.77,34.06,528496
2016-01-07,CL.NYM,34.09,34.26,32.1,33.26,590309
2016-01-08,CL.NYM,33.3,34.34,32.64,32.88,567306
2016-01-11,CL.NYM,32.94,33.2,30.88,31.13,619523
2016-01-12,CL.NYM,32.24,33.3,31,31.63,278280
2016-01-13,CL.NYM,31.6,32.67,31.07,31.44,345319
2016-01-14,CL.NYM,31.47,32.53,31.16,32.14,389230
2016-01-15,CL.NYM,32.11,32.13,30.06,30.68,345411
2016-01-19,CL.NYM,30.17,31.36,29.35,29.43,720275
2016-01-20,CL.NYM,29.47,29.75,27.56,28.33,672126
2016-01-21,CL.NYM,28.35,30.25,27.87,29.85,680377
2016-01-22,CL.NYM,29.84,32.35,29.53,32.25,632346
2016-01-25,CL.NYM,32.05,32.74,29.53,29.8,598242
2016-01-26,CL.NYM,29.81,32.41,29.25,30.51,637931
2016-01-27,CL.NYM,30.55,32.84,30.14,32.16,731277
2016-01-28,CL.NYM,32.19,34.82,31.74,33.72,824663
2016-01-29,CL.NYM,33.7,34.4,32.65,33.74,611564
2016-02-01,CL.NYM,33.83,34.18,31.29,31.32,588896
2016-02-02,CL.NYM,31.37,31.53,29.57,29.71,594062
2016-02-03,CL.NYM,29.75,32.75,29.4,32.75,804993
2016-02-04,CL.NYM,32.71,33.6,31.53,31.69,687450
2016-02-05,CL.NYM,31.64,32.45,30.63,31,602284
2016-02-08,CL.NYM,30.97,31.38,29.57,30.12,555481
2016-02-09,CL.NYM,30.17,30.61,27.74,28.35,695607
2016-02-10,CL.NYM,28.36,29.22,27.24,27.33,739499
2016-02-11,CL.NYM,27.34,27.48,26.05,27.3,749980
2016-02-12,CL.NYM,30.05,31.98,29.78,31.36,419810
2016-02-16,CL.NYM,31.3,33.78,30.66,31.2,438514
2016-02-17,CL.NYM,31.19,33.66,30.81,33.65,441096
2016-02-18,CL.NYM,33.55,34.21,32.45,32.73,422838
2016-02-19,CL.NYM,32.7,32.99,31.34,31.96,504120
2016-02-22,CL.NYM,31.96,33.84,31.61,33.35,518170
2016-02-23,CL.NYM,33.34,33.53,31.22,31.37,533442
2016-02-24,CL.NYM,31.28,32.4,30.56,32.22,643423
2016-02-25,CL.NYM,32.19,33.49,31.07,33.08,604749
2016-02-26,CL.NYM,33.04,34.69,32.64,32.84,622152
2016-02-29,CL.NYM,32.72,33.98,32.32,33.9,484662
2016-03-01,CL.NYM,33.9,34.76,33.37,33.89,559283
2016-03-02,CL.NYM,33.89,35.17,33.55,34.73,592737
2016-03-03,CL.NYM,34.73,35.32,34.19,34.69,506819
2016-03-04,CL.NYM,34.66,36.34,34.4,36.33,566189
2016-03-07,CL.NYM,36.2,38.11,36.09,37.98,674208
2016-03-08,CL.NYM,37.94,38.39,36.12,36.33,672884
2016-03-09,CL.NYM,36.36,38.51,36.24,38.18,704079
2016-03-10,CL.NYM,39.95,40.16,38.91,39.62,283948
2016-03-11,CL.NYM,39.61,40.48,39.53,40,252027
2016-03-14,CL.NYM,39.85,40.3,38.41,39.06,223705
2016-03-15,CL.NYM,39.01,39.08,37.71,38.48,237408
2016-03-16,CL.NYM,38.48,40.14,38.39,40.09,368712
2016-03-17,CL.NYM,40.06,41.71,40,41.67,432565
2016-03-18,CL.NYM,41.63,42.49,41.02,41.13,662503
2016-03-21,CL.NYM,41.07,41.8,40.41,41.62,474146
2016-03-22,CL.NYM,41.59,41.9,40.77,41.22,458545
2016-03-23,CL.NYM,41.19,41.34,39.67,39.77,488675
2016-03-24,CL.NYM,39.73,39.77,38.33,39.59,492107
2016-03-28,CL.NYM,39.55,40.14,38.86,39.3,297467
2016-03-29,CL.NYM,39.32,39.48,37.91,38.49,483412
2016-03-30,CL.NYM,38.52,39.85,38.14,38.3,536147
2016-03-31,CL.NYM,38.3,39.04,37.57,38.11,528266
2016-04-01,CL.NYM,38.14,38.56,36.63,36.63,533359
2016-04-04,CL.NYM,36.61,37.21,35.46,35.46,539935
2016-04-05,CL.NYM,35.5,36.58,35.24,36.56,476515
2016-04-06,CL.NYM,36.52,37.9,36.43,37.73,724660
2016-04-07,CL.NYM,37.76,38.3,36.69,37.53,590386
2016-04-08,CL.NYM,37.52,39.84,37.45,39.66,780531
2016-04-11,CL.NYM,39.72,40.75,39.25,40.34,647692
2016-04-12,CL.NYM,41.77,43.57,41.47,43.01,374096
2016-04-13,CL.NYM,42.97,43.69,42.58,42.76,330119
2016-04-14,CL.NYM,42.82,43.34,42.06,42.65,251229
2016-04-15,CL.NYM,42.63,42.88,41.19,41.75,383601
2016-04-18,CL.NYM,39.9,41.66,39,41.47,602657
2016-04-19,CL.NYM,41.44,42.88,40.88,42.42,701771
2016-04-20,CL.NYM,42.29,44.26,41.3,43.97,791981
2016-04-21,CL.NYM,43.97,44.49,43.05,43.43,666089
2016-04-22,CL.NYM,43.42,44.45,43.11,43.75,572326
2016-04-25,CL.NYM,43.75,44.04,42.58,42.99,603603
2016-04-26,CL.NYM,42.96,44.83,42.5,44.66,562806
2016-04-27,CL.NYM,44.64,45.62,43.77,45.33,644426
2016-04-28,CL.NYM,45.3,46.14,44.94,45.88,484261
2016-04-29,CL.NYM,45.9,46.78,45.24,45.99,572652
2016-05-02,CL.NYM,45.9,46.15,44.54,44.9,461007
2016-05-03,CL.NYM,44.92,45.35,43.32,43.88,621448
2016-05-04,CL.NYM,43.85,44.88,43.22,44.05,709154
2016-05-05,CL.NYM,44.04,46.07,43.96,44.51,738487
2016-05-06,CL.NYM,44.52,45.34,43.54,44.56,667883
2016-05-09,CL.NYM,45,45.94,43.24,43.24,736167
2016-05-10,CL.NYM,43.25,44.79,43.03,44.53,684192
2016-05-11,CL.NYM,44.6,46.36,43.96,45.99,838680
2016-05-12,CL.NYM,46.77,47.73,46.34,47.19,275213
2016-05-13,CL.NYM,47.22,47.3,46.53,47.03,184449
2016-05-16,CL.NYM,46.96,48.67,46.84,48.61,269020
2016-05-17,CL.NYM,48.6,49.43,48.18,49.24,297077
2016-05-18,CL.NYM,49.19,49.56,48.31,48.45,509689
2016-05-19,CL.NYM,48.45,48.78,47.26,48.77,615188
2016-05-20,CL.NYM,48.72,49.29,47.95,48.48,534197
2016-05-23,CL.NYM,48.46,48.5,47.4,48.11,471591
2016-05-24,CL.NYM,48.08,49.27,47.64,49.1,474935
2016-05-25,CL.NYM,49.09,49.75,48.65,49.74,545714
2016-05-26,CL.NYM,49.7,50.21,49.22,49.4,483737
2016-05-27,CL.NYM,49.31,49.6,48.69,49.56,403664
2016-05-31,CL.NYM,49.54,50.1,48.81,48.84,470835
2016-06-01,CL.NYM,48.82,49.25,47.75,48.91,564085
2016-06-02,CL.NYM,48.9,49.47,47.97,49.05,560839
2016-06-03,CL.NYM,49.04,49.41,48.33,48.88,477827
2016-06-06,CL.NYM,48.88,49.9,48.71,49.71,444837
2016-06-07,CL.NYM,49.71,50.53,49.44,50.43,518564
2016-06-08,CL.NYM,50.41,51.62,50.32,51.53,633528
2016-06-09,CL.NYM,51.45,51.67,50.23,50.46,539433
2016-06-10,CL.NYM,50.47,50.73,48.8,48.87,572601
2016-06-13,CL.NYM,48.85,49.28,48.16,48.56,498892
2016-06-14,CL.NYM,49.17,49.27,48.41,48.47,217800
2016-06-15,CL.NYM,48.47,49.23,47.79,47.98,276967
2016-06-16,CL.NYM,47.98,48.25,46.44,46.53,364956
2016-06-17,CL.NYM,46.55,48.9,46.4,48.86,413469
2016-06-20,CL.NYM,49.09,50,48.72,49.84,448478
2016-06-21,CL.NYM,49.8,50.4,48.85,50.2,470022
2016-06-22,CL.NYM,50.22,50.54,48.4,49,567025
2016-06-23,CL.NYM,49.08,50.23,49.08,50.13,397065
2016-06-24,CL.NYM,50.3,50.45,46.7,47.57,638657
2016-06-27,CL.NYM,47.81,47.96,45.83,46.61,498588
2016-06-28,CL.NYM,46.59,48.18,46.54,48.11,493458
2016-06-29,CL.NYM,48.06,50,47.98,49.54,508918
2016-06-30,CL.NYM,49.55,49.62,48.17,48.4,507437
2016-07-01,CL.NYM,48.38,49.3,47.9,49.28,404047
2016-07-05,CL.NYM,49.11,49.35,46.33,46.86,601864
2016-07-06,CL.NYM,46.83,47.95,45.92,47.89,585740
2016-07-07,CL.NYM,47.88,48.25,44.87,45.19,686628
2016-07-08,CL.NYM,45.19,45.97,44.77,45.13,557011
2016-07-11,CL.NYM,45.07,45.77,44.42,44.55,510776
2016-07-12,CL.NYM,45.39,47.69,45.3,47.39,298001
2016-07-13,CL.NYM,47.37,47.41,45.25,45.82,370576
2016-07-14,CL.NYM,45.86,46.51,45.64,46.22,305767
2016-07-15,CL.NYM,46.26,47.05,45.78,46.98,262078
2016-07-18,CL.NYM,46.83,46.84,45.54,45.91,330009
2016-07-19,CL.NYM,45.93,46.38,45.28,45.45,478645
2016-07-20,CL.NYM,45.42,46.13,44.55,45.66,538056
2016-07-21,CL.NYM,45.65,46.09,44.52,44.54,429631
2016-07-22,CL.NYM,44.6,44.97,43.74,44.26,419784
2016-07-25,CL.NYM,44.2,44.37,42.97,43.05,384390
2016-07-26,CL.NYM,43.07,43.39,42.36,42.64,456365
2016-07-27,CL.NYM,42.66,43.2,41.68,41.91,528924
2016-07-28,CL.NYM,41.93,42.22,41.04,41.1,444141
2016-07-29,CL.NYM,41.12,41.67,40.57,41.38,473716
2016-08-01,CL.NYM,41.35,41.88,39.82,40.08,522530
2016-08-02,CL.NYM,40.08,40.91,39.26,39.72,529542
2016-08-03,CL.NYM,39.7,41.2,39.19,41.17,646254
2016-08-04,CL.NYM,41.16,42.08,40.43,41.81,595707
2016-08-05,CL.NYM,41.84,42.1,41.06,41.98,539443
2016-08-08,CL.NYM,41.99,43.39,41.81,42.87,532436
2016-08-09,CL.NYM,42.83,43.52,42.47,42.75,601199
2016-08-10,CL.NYM,42.74,43.39,41.42,41.49,651935
2016-08-11,CL.NYM,41.48,43.86,41.1,43.46,658177
2016-08-12,CL.NYM,44.19,45.47,44.03,45.39,182442
2016-08-15,CL.NYM,45.37,46.59,45.06,46.37,237297
2016-08-16,CL.NYM,46.25,47.37,46,47.06,263860
2016-08-17,CL.NYM,47.02,47.68,46.5,47.63,389067
2016-08-18,CL.NYM,47.58,49.05,47.28,48.96,464969
2016-08-19,CL.NYM,48.95,49.36,48.55,49.11,550425
2016-08-22,CL.NYM,49.02,49.08,47.33,47.39,511473
2016-08-23,CL.NYM,47.39,48.32,46.59,47.57,619339
2016-08-24,CL.NYM,47.59,47.74,46.45,46.8,599262
2016-08-25,CL.NYM,46.8,47.46,46.42,47.38,455588
2016-08-26,CL.NYM,47.37,48.46,46.94,47.29,553896
2016-08-29,CL.NYM,47.22,47.28,46.62,46.95,308687
2016-08-30,CL.NYM,46.98,47.49,46.21,46.26,457956
2016-08-31,CL.NYM,46.24,46.41,44.51,44.86,541623
2016-09-01,CL.NYM,44.85,45.08,43,43.53,589030
2016-09-02,CL.NYM,43.55,44.67,43.16,44.2,571209
2016-09-06,CL.NYM,44.15,46.53,43.84,44.88,910283
2016-09-07,CL.NYM,44.85,46.17,44.55,46.14,551719
2016-09-08,CL.NYM,46.12,47.75,45.77,47.32,734293
2016-09-09,CL.NYM,47.36,47.36,45.56,45.71,663444
2016-09-12,CL.NYM,45.57,46.51,44.72,46.06,735053
2016-09-13,CL.NYM,46.66,46.69,45.36,45.55,313334
2016-09-14,CL.NYM,45.6,45.87,44,44.23,343720
2016-09-15,CL.NYM,44.31,44.96,43.87,44.31,385389
2016-09-16,CL.NYM,44.32,44.35,43.35,43.75,411708
2016-09-19,CL.NYM,43.7,44.7,43.66,43.77,509867
2016-09-20,CL.NYM,43.74,44.59,43.06,44.43,690959
2016-09-21,CL.NYM,44.5,45.65,44.5,45.62,585062
2016-09-22,CL.NYM,45.62,46.52,45.52,46.08,512181
2016-09-23,CL.NYM,46.07,46.55,44.22,44.59,711592
2016-09-26,CL.NYM,44.62,46.2,44.43,45.62,523892
2016-09-27,CL.NYM,45.62,45.96,44.19,44.93,621828
2016-09-28,CL.NYM,44.96,47.45,44.35,47.16,1005511
2016-09-29,CL.NYM,47.2,48.32,46.6,47.72,689594
2016-09-30,CL.NYM,47.76,48.3,47.04,48.05,465217
2016-10-03,CL.NYM,48.04,49.02,47.78,48.65,452794
2016-10-04,CL.NYM,48.65,49.26,48.26,49.19,508961
2016-10-05,CL.NYM,49.26,49.97,49.1,49.7,512306
2016-10-06,CL.NYM,49.65,50.63,49.33,50.56,527139
2016-10-07,CL.NYM,50.59,50.74,49.4,49.55,597943
2016-10-10,CL.NYM,49.57,51.6,49.15,51.16,660054
2016-10-11,CL.NYM,51.1,51.54,50.39,50.86,738154
2016-10-12,CL.NYM,51.31,51.6,50.36,50.46,271170
2016-10-13,CL.NYM,50.45,50.99,49.79,50.9,443284
2016-10-14,CL.NYM,50.97,51.51,50.3,50.74,344933
2016-10-17,CL.NYM,50.65,51,49.9,50.47,307036
2016-10-18,CL.NYM,50.45,51.1,50.13,51.1,377689
2016-10-19,CL.NYM,51.09,52.22,51.01,51.67,617285
2016-10-20,CL.NYM,51.58,51.83,50.44,50.61,543008
2016-10-21,CL.NYM,50.66,51.02,50.21,51,542827
2016-10-24,CL.NYM,50.85,50.98,49.62,50.49,616316
2016-10-25,CL.NYM,50.49,50.93,49.27,49.3,548523
2016-10-26,CL.NYM,49.31,50.1,48.87,49.23,675950
2016-10-27,CL.NYM,49.22,50.06,49,49.6,541692
2016-10-28,CL.NYM,49.61,49.81,48.42,48.66,546918
2016-10-31,CL.NYM,48.25,48.74,46.63,46.76,639719
2016-11-01,CL.NYM,46.77,47.35,46.2,46.34,820915
2016-11-02,CL.NYM,46.32,46.47,44.96,45.51,660394
2016-11-03,CL.NYM,45.48,45.9,44.37,44.66,530689
2016-11-04,CL.NYM,44.63,44.87,43.57,44.13,729839
2016-11-07,CL.NYM,44.45,45.01,44.11,44.95,583587
2016-11-08,CL.NYM,44.97,45.39,44.41,44.83,642554
2016-11-09,CL.NYM,44.82,45.95,43.07,45.34,918450
2016-11-10,CL.NYM,45.31,45.64,44.25,44.29,661627
2016-11-11,CL.NYM,45.05,45.33,43.73,43.9,284042
2016-11-14,CL.NYM,43.9,44.39,42.95,44.29,371833
2016-11-15,CL.NYM,44.3,46.7,44.14,46.37,395261
2016-11-16,CL.NYM,46.43,46.99,45.65,45.85,403479
2016-11-17,CL.NYM,45.87,47.12,45.47,45.51,480429
2016-11-18,CL.NYM,45.51,46.45,45.18,46.32,657442
2016-11-21,CL.NYM,46.6,48.51,46.46,48.33,654447
2016-11-22,CL.NYM,48.37,49.2,47.17,47.9,813297
2016-11-23,CL.NYM,47.94,48.43,47.4,47.94,538676
2016-11-25,CL.NYM,47.97,48.26,45.88,45.96,464789
2016-11-28,CL.NYM,45.43,47.65,45.14,46.9,730400
2016-11-29,CL.NYM,46.88,46.98,44.82,45.23,729559
2016-11-30,CL.NYM,45.24,49.9,45.22,48.98,1285013
2016-12-01,CL.NYM,49.07,51.8,48.98,50.9,946813
2016-12-02,CL.NYM,51.01,51.73,50.18,51.68,655006
2016-12-05,CL.NYM,51.46,52.42,50.93,50.95,594066
2016-12-06,CL.NYM,50.97,51.6,50.28,50.91,614653
2016-12-07,CL.NYM,50.93,51.2,49.72,49.84,790162
2016-12-08,CL.NYM,49.88,50.98,49.61,50.96,747133
2016-12-09,CL.NYM,50.92,51.66,50.86,51.48,620231
2016-12-12,CL.NYM,52.58,54.51,52.18,52.44,835300
2016-12-13,CL.NYM,53.59,54.4,53.31,53.43,310192
2016-12-14,CL.NYM,53.42,53.8,51.74,51.84,345730
2016-12-15,CL.NYM,51.84,52.55,51.1,52.16,381734
2016-12-16,CL.NYM,52.19,53.15,51.57,53.1,410984
2016-12-19,CL.NYM,53.25,53.59,52.57,53.14,478288
2016-12-20,CL.NYM,53.14,53.77,52.84,53.51,414274
2016-12-21,CL.NYM,53.56,53.79,52.32,52.51,467392
2016-12-22,CL.NYM,52.52,53.19,52.08,52.65,390843
2016-12-23,CL.NYM,52.68,53.28,52.26,53.25,278934
2016-12-27,CL.NYM,53.29,54.1,53.03,53.89,273676
2016-12-28,CL.NYM,53.93,54.37,53.56,53.66,321406
2016-12-29,CL.NYM,53.66,54.21,53.46,53.85,346593
2016-12-30,CL.NYM,53.87,54.09,53.41,53.89,267084
2017-01-03,CL.NYM,54.2,55.24,52.11,52.47,722528
2017-01-04,CL.NYM,52.49,53.43,52.15,53.35,510718
2017-01-05,CL.NYM,53.39,54.12,52.79,53.76,516256
2017-01-06,CL.NYM,53.73,54.32,53.32,53.7,512712
2017-01-09,CL.NYM,53.75,53.83,51.76,51.79,538710
2017-01-10,CL.NYM,51.83,52.37,50.71,50.78,614821
2017-01-11,CL.NYM,51.75,53.6,51.63,53.19,343655
2017-01-12,CL.NYM,53.12,54.29,52.94,53.86,350707
2017-01-13,CL.NYM,53.87,54,53.08,53.32,248502
2017-01-16,CL.NYM,53.31,53.5,52.9,53.43,58637
2017-01-17,CL.NYM,53.31,54.32,52.9,53.33,420532
2017-01-18,CL.NYM,53.33,53.61,51.72,52.18,558265
2017-01-19,CL.NYM,52.19,52.67,51.81,52.17,574768
2017-01-20,CL.NYM,52.2,53.67,52.13,53.24,565386
2017-01-23,CL.NYM,53.33,53.47,52.21,52.83,438376
2017-01-24,CL.NYM,52.86,53.56,52.67,52.94,516632
2017-01-25,CL.NYM,52.95,53.47,52.56,52.94,587297
2017-01-26,CL.NYM,52.96,54.06,52.79,53.71,571485
